id,full description
107.txt,"Narsai. “On Reproof - ܥܲܠ ܡܲܟܿܣܵܢܘܼܬܼܵܐ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/107."
108.txt,"Narsai. “On th Reproof of Women - ܥܲܠ ܡܲܟܼܣܵܢܘܼܬܼܵܐ ܕܒܼܢܵܬܼ̈ ܚܵܘܵܐ ܘܥܲܒܠ.” Based upon Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/108."
109.txt,"Narsai. “On John 1:14 - ܥܲܠ ܗ̇ܝ ܕܡܸܠܬܼܵܐ ܒܸܣܪܵܐ ܗܘ̤ܵܐ ܘܐܲܓܸܢ ܒܲܢ.” Based upon BL Or. 5463. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/109."
110.txt,"Jacob of Serugh. “On Joseph (Memra 2) - ܡܺܐܡܪܳܐ ܕܰܬܪܶܝܢ ܕܥܰܠ ܝܰܘܣܶܦ.” Based upon Vat. sir. 117. Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/110."
111.txt,"Jacob of Serugh. “On Joseph (Memra 3) - ܡܺܐܡܪܳܐ ܕܰܬܠܳܬ݂ܳܐ ܕܥܰܠ ܝܰܘܣܶܦ.” Based upon Vat. sir. 117. Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/111."
112.txt,"Jacob of Serugh. “On Joseph (Memra 4) - ܡܺܐܡܪܳܐ ܕܰܐܪܒܥܳܐ ܕܥܰܠ ܝܰܘܣܶܦ.” Based upon Vat. sir. 117. Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/112."
113.txt,"Jacob of Serugh. “On Joseph (Memra 5) - ܡܺܐܡܪܳܐ ܕܚܰܡܫܳܐ ܕܥܰܠ ܝܰܘܣܶܦ.” Based upon Vat. sir. 117. Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/113."
114.txt,"Jacob of Serugh. “On Joseph (Memra 6) - ܡܺܐܡܪܳܐ ܕܶܫܬܳܐ ܕܥܰܠ ܝܰܘܣܶܦ.” Based upon Vat. sir. 117. Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/114."
115.txt,"Jacob of Serugh. “On Joseph (Memra 7) - ܡܺܐܡܪܳܐ ܕܫܰܒܥܳܐ ܕܥܰܠ ܝܰܘܣܶܦ.” Based upon Vat. sir. 117. Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/115."
116.txt,"Jacob of Serugh. “On Joseph (Memra 8) - ܡܺܐܡܪܳܐ ܕܰܬܡܳܢܝܳܐ ܕܥܰܠ ܝܰܘܣܶܦ.” Based upon Vat. sir. 117. Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/116."
117.txt,"Jacob of Serugh. “On Joseph (Memra 9) - ܡܺܐܡܪܳܐ ܕܬܶܫܥܳܐ ܕܥܰܠ ܝܰܘܣܶܦ.” Based upon Vat. sir. 117. Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/117."
118.txt,"Jacob of Serugh. “On Joseph (Memra 10) - ܡܺܐܡܪܳܐ ܕܥܶܣܪܳܐ ܕܥܰܠ ܝܰܘܣܶܦ.” Based upon Vat. sir. 117. Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/118."
119.txt,"Mark the Evangelist. “Gospel of Mark - ܐܘܢܓܠܝܘܢ ܩܕܝܫܐ ܟܪܘܙܘܬܐ ܕܡܪܩܘܣ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/119."
120.txt,"Luke the Evangelist. “Gospel of Luke - ܐܘܢܓܠܝܘܢ ܩܕܝܫܐ ܟܪܘܙܘܬܐ ܕܠܘܩܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/120."
121.txt,"John the Evangelist. “Gospel of John - ܐܘܢܓܠܝܘܢ ܩܕܝܫܐ ܟܪܘܙܘܬܐ ܕܝܘܚܢܢ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/121."
122.txt,"Luke the Evangelist. “Acts of the Apostles - ܦܪܟܣܣ ܕܬܪܥܣܪ ܫܠܝ̈ܚܐ ܛܘܒ̈ܢܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/122."
123.txt,"Paul the Apostle. “Romans (Peshitta Version) - ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܪ̈ܗܘܡܝܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/123."
124.txt,"Paul the Apostle. “1 Corinthians (Peshitta Version) - ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܩܘܪ̈ܝܢܬܝܐ ܩܕܡܝܬܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/124."
125.txt,"Paul the Apostle. “2 Corinthians (Peshitta Version) - ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܩܘܪ̈ܝܢܬܝܐ ܕܬܪܬܝܢ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/125."
127.txt,"Paul the Apostle. “Galatians (Peshitta Version) - ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܓܠܛܝ̈ܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/127."
128.txt,"Paul the Apostle. “Ephesians (Peshitta Version) - ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܐܦܣܝ̈ܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/128."
129.txt,"Paul the Apostle. “Philippians (Peshitta Version) - ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܦܝܠܝܦܣܝ̈ܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/129."
130.txt,"Paul the Apostle. “Colossians (Peshitta Version) - ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܩܘܠ̈ܣܝܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/130."
131.txt,"Paul the Apostle. “1 Thessalonians (Peshitta Version) - ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܬܣܠ̈ܘܢܝܩܝܐ ܩܕܡܝܬܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/131."
132.txt,"Paul the Apostle. “2 Thessalonians (Peshitta Version) - ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܬܣܠ̈ܘܢܝܩܝܐ ܕܬܪܬܝܢ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/132."
133.txt,"Paul the Apostle. “1 Timothy (Peshitta Version) - ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܛܝܡܬܐܘܣ ܩܕܡܝܬܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/133."
134.txt,"Paul the Apostle. “2 Timothy (Peshitta Version) - ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܛܝܡܬܐܘܣ ܕܬܪܬܝܢ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/134."
135.txt,"Paul the Apostle. “Titus (Peshitta Version) - ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܛܝܛܘܣ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/135."
136.txt,"Paul the Apostle. “Philemon (Peshitta Version) - ܐܓܪܬܐ ܕܦܘܠܘܣ ܕܠܘܬ ܦܝܠܝܡܘܢ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/136."
137.txt,"“Hebrews (Peshitta Version) - ܐܓܪܬܐ ܕܠܘܬ ܥܒܪ̈ܝܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/137."
138.txt,"James the Apostle. “James (Peshitta Version) - ܐܓܪܬܐ ܕܝܥܩܘܒ ܫܠܝܚܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/138."
139.txt,"Peter the Apostle. “1 Peter (Peshitta Version) - ܐܓܪܬܐ ܕܦܛܪܘܣ ܫܠܝܚܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/139."
140.txt,"Peter the Apostle. “2 Peter (Peshitta Version) - ܐܓܪܬܐ ܕܬܪ̈ܬܝܢ ܕܦܛܪܘܣ ܫܠܝܚܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/140."
141.txt,"John the Apostle. “1 John (Peshitta Version) - ܐܓܪܬܐ ܕܝܘܚܢܢ ܫܠܝܚܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/141."
142.txt,"John the Apostle. “2 John (Peshitta Version) - ܐܓܪܬܐ ܕܬܪ̈ܬܝܢ ܕܝܘܚܢܢ ܫܠܝܚܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/142."
143.txt,"John the Apostle. “3 John (Peshitta Version) - ܐܓܪܬܐ ܕܬܠܬ ܕܝܘܚܢܢ ܫܠܝܚܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/143."
144.txt,"Jude the Apostle. “Jude (Peshitta Version) - ܐܓܪܬܐ ܕܝܗܘܕܐ ܫܠܝܚܐ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/144."
145.txt,"John the Apostle. “Revelation (Peshitta Version) - ܓܠܝܢܐ ܕܝܘܚܢܢ.” Based upon G. H. Gwilliam, J. Pinkerton and John Gwynn eds., The New Testament in Syriac [ܕܝܬܝܩܐ ܚܕܬܐ ܕܡܪܢ ܝܫܘܥ ܡܫܝܚܐ] (London: British and Foreign Bible Society, 1905). Digital Syriac Corpus. Last modified May 1, 2018. https://syriaccorpus.org/145."
146.txt,"“Odes of Solomon: Ode 3.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/146."
147.txt,"“Odes of Solomon: Ode 4.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/147."
148.txt,"“Odes of Solomon: Ode 5.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/148."
149.txt,"“Odes of Solomon: Ode 6.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/149."
150.txt,"“Odes of Solomon: Ode 7.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/150."
151.txt,"“Odes of Solomon: Ode 8.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/151."
152.txt,"“Odes of Solomon: Ode 9.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/152."
153.txt,"“Odes of Solomon: Ode 10.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/153."
154.txt,"“Odes of Solomon: Ode 11.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/154."
155.txt,"“Odes of Solomon: Ode 12.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/155."
156.txt,"“Odes of Solomon: Ode 13.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/156."
157.txt,"“Odes of Solomon: Ode 14.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/157."
158.txt,"“Odes of Solomon: Ode 15.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/158."
159.txt,"“Odes of Solomon: Ode 16.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/159."
160.txt,"“Odes of Solomon: Ode 17.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/160."
161.txt,"“Odes of Solomon: Ode 18.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/161."
162.txt,"“Odes of Solomon: Ode 19.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/162."
163.txt,"“Odes of Solomon: Ode 20.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/163."
164.txt,"“Odes of Solomon: Ode 21.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/164."
165.txt,"“Odes of Solomon: Ode 22.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/165."
166.txt,"“Odes of Solomon: Ode 23.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/166."
167.txt,"“Odes of Solomon: Ode 24.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/167."
168.txt,"“Odes of Solomon: Ode 25.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/168."
169.txt,"“Odes of Solomon: Ode 26.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/169."
170.txt,"“Odes of Solomon: Ode 27.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/170."
171.txt,"“Odes of Solomon: Ode 28.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/171."
172.txt,"“Odes of Solomon: Ode 29.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/172."
173.txt,"“Odes of Solomon: Ode 30.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/173."
174.txt,"“Odes of Solomon: Ode 31.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/174."
175.txt,"“Odes of Solomon: Ode 32.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/175."
176.txt,"“Odes of Solomon: Ode 33.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/176."
177.txt,"“Odes of Solomon: Ode 34.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/177."
178.txt,"“Odes of Solomon: Ode 35.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/178."
179.txt,"“Odes of Solomon: Ode 36.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/179."
180.txt,"“Odes of Solomon: Ode 37.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/180."
181.txt,"“Odes of Solomon: Ode 38.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/181."
182.txt,"“Odes of Solomon: Ode 39.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/182."
183.txt,"“Odes of Solomon: Ode 40.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/183."
184.txt,"“Odes of Solomon: Ode 41.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/184."
185.txt,"“Odes of Solomon: Ode 42.” Based upon James H. Charlesworth ed., The Odes of Solomon: The Syriac Texts (Oxford: Oxford University Press, 1973). Digital Syriac Corpus. Last modified July 6, 2017. https://syriaccorpus.org/185."
186.txt,"Bardaisan. “Book of the Laws of the Countries - ܟܬܒܐ ܕܢܡ̈ܘܣܐ ܕܐܬܪ̈ܘܬܐ.” Digital Syriac Corpus. Last modified May 15, 2017. https://syriaccorpus.org/186."
187.txt,"Abraham of Nathpar. “On the Solitaries - ܥܸܠܬܐ ܕܕܘܒܪ̈ܐ ܕܝܼܚܝܕܝܘܬܐ.” Based upon BL Or. 6714. Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/187."
188.txt,"“Memra 1 - ܡܺܐܡܪܳܐ ܩܰܕܡܳܝܳܐ.” Based upon Robert Kitchen ed., The Syriac Book of Steps vol. 1 (Piscataway, NJ: Gorgias Press, 2009). Digital Syriac Corpus. Last modified April 26, 2019. https://syriaccorpus.org/188."
189.txt,"“Memra 2: About Those Who Want to Become Perfect - ܡܺܐܡܪܳܐ ܕܰܬܪܶܝܢ ܕܥܰܠ ܐܰܝܠܶܝܢ ܕܨܳܒܶܝܢ ܕܢܶܬܓܰܡܪܽܘܢ.” Based upon Robert Kitchen ed., The Syriac Book of Steps vol. 1 (Piscataway, NJ: Gorgias Press, 2009). Digital Syriac Corpus. Last modified May 30, 2017. https://syriaccorpus.org/189."
190.txt,"“Memra 3: The Physical And the Spiritual Ministry - ܡܺܐܡܪܳܐ ܕܰܬܠܳܬܳܐ ܕܥܰܠ ܬܶܫܡܶܫܬܳܐ ܦܰܓܪܳܢܳܝܬܳܐ ܘܪܽܘܚܳܢܳܝܬܳܐ.” Based upon Robert Kitchen ed., The Syriac Book of Steps vol. 1 (Piscataway, NJ: Gorgias Press, 2009). Digital Syriac Corpus. Last modified May 30, 2017. https://syriaccorpus.org/190."
191.txt,"“Memra 4: On the Vegetables for the Sick - ܡܺܐܡܪܳܐ ܕܰܐܪܒܥܳܐ ܕܥܰܠ ܝܰܪܩܳܐ ܕܰܟܪ̈ܺܝܗܶܐ.” Based upon Robert Kitchen ed., The Syriac Book of Steps vol. 1 (Piscataway, NJ: Gorgias Press, 2009). Digital Syriac Corpus. Last modified May 30, 2017. https://syriaccorpus.org/191."
192.txt,"“Memra 5: On the Milk of the Children - ܡܺܐܡܪܳܐ ܕܚܰܡܫܳܐ ܕܥܰܠ ܚܰܠܒܳܐ ܕܝܰܠ̈ܽܘܕܶܐ.” Based upon Robert Kitchen ed., The Syriac Book of Steps vol. 1 (Piscataway, NJ: Gorgias Press, 2009). Digital Syriac Corpus. Last modified May 31, 2017. https://syriaccorpus.org/192."
